"","Team","Opponent","HomeGame","ScoreFor","ScoreAgainst","GameId","Year","WeekNumber","GameDate","Overtime","ConvertBotched","Convert2Attempts","Convert2Fail","FirstDownsByPenalty","FirstDownsByPassing","FirstDownsByRushing","DrivesFieldGoalTotal","DrivesFieldGoalRougeTotal","DrivesMissedFieldGoalTotal","DrivesOutOfTimeTotal","DrivesPuntRougeTotal","DrivesPuntTotal","DrivesSafetyTotal","DrivesTouchdownTotal","DrivesTurnoverDownsTotal","DrivesTurnoverFumbleTotal","DrivesTurnoverInterceptionTotal","DrivesScoredTotal","DrivesScoredNonRougeTotal","DrivesTotal","DrivesTurnedOverTotal","DrivesScoredPercentage","DrivesScoredNonRougePercentage","DrivesTurnedOverPercentage","DrivesPuntedPercentage","DrivesStartingPositionNormalizedTotal","DrivesDurationInSecondsTotal","DrivesPlaysTotal","DrivesYardsGainedTotal","DrivesPointsScoredTotal","DrivesStartingPositionNormalizedAverage","DrivesDurationInSecondsAverage","DrivesNumberOfPlaysAverage","DrivesYardsGainedAverage","DrivesPointsScoredAverage","DrivesYardsPerPlay","FirstDownsTotal","TeamTurnoversTotal","Convert1Attempts","Convert1Blocked","Convert1HadBlocked","Convert1Made","Convert1Missed","Convert1Percentage","Convert2Score","FieldGoalAttemptsTotal","FieldGoalAttempts0to19","FieldGoalAttempts20to29","FieldGoalAttempts30to39","FieldGoalAttempts40to49","FieldGoalAttempts50Plus","FieldGoalsBlocked","FieldGoalsHadBlocked","FieldGoalsMadeTotal","FieldGoalsMade0to19","FieldGoalsMade20to29","FieldGoalsMade30to39","FieldGoalsMade40to49","FieldGoalsMade50Plus","FieldGoalsMadeLongest","FieldGoalsMissedTotal","FieldGoalsMissed0to19","FieldGoalsMissed20to29","FieldGoalsMissed30to39","FieldGoalsMissed40to49","FieldGoalsMissed50Plus","FieldGoalsPercentage","FieldGoalsRougeTotal","FumblesAdvanced","FumblesAdvancedYards","FumblesAdvancedLongest","FumblesAdvancedAverage","FumblesAdvancedTouchdown","FumblesCommitted","FumblesForced","FumblesLost","FumblesRecovered","FumblesReturned","FumblesReturnAverage","FumblesReturnLongest","FumblesReturnYards","FumblesReturnTouchdown","InterceptionsReturnAverage","InterceptionsReturnLongest","InterceptionsReturnYards","InterceptionsTotal","InterceptionsTouchdown","KickoffAverageGross","KickoffAverageNet","KickoffLongGross","KickoffLongNet","KickoffOwnTeamRecovery","KickoffRougeTotal","KickoffThroughEndZone","KickoffTotal","KickoffYardsGross","KickoffYardsNet","LateralAdvanced","LateralAdvancedYards","LateralAdvancedLongest","LateralAdvancedTouchdown","LateralMade","LateralReceived","MissedFieldGoalReturnAverage","MissedFieldGoalReturnLong","MissedFieldGoalReturnTotal","MissedFieldGoalReturnTouchdown","MissedFieldGoalReturnYards","PassesAttempts","PassesCompletions","PassesDefensed","PassesInterceptions","PassesInterceptionPercentage","PassesPercentage","PassesSackedPercentage","PassesTouchdowns","PassesTouchdownPercentage","PassesYardsGrossPerAttempt","PassesYardsGrossPerCatch","PassesYardsNetPerAttempt","PassesAttemptsPlusSacked","PassesYardsGross","PassesYardsLongest","PassTargets","PenaltiesTotal","PenaltiesYards","PuntsAverageGross","PuntsAverageNet","PuntsBlocked","PuntsHadBlocked","PuntsInside20","PuntsInside20Percentage","PuntsLongGross","PuntsLongNet","PuntsRougeTotal","PuntsTotal","PuntsYardsGross","PuntsYardsNet","ReceptionsAverageYardsPer","ReceptionsLongest","ReceptionsSafeties","ReceptionsTotal","ReceptionsTouchdowns","ReceptionsYards","ReturnsKickoffAverage","ReturnsKickoffLongest","ReturnsKickoffTotal","ReturnsKickoffTouchdown","ReturnsKickoffYards","ReturnsPuntAverage","ReturnsPuntLongest","ReturnsPuntTotal","ReturnsPuntTouchdown","ReturnsPuntYards","RushesAttempts","RushesAverageYardsPer","RushesLongest","RushesSafeties","RushesTouchdowns","RushesYards","SackedAverage","SackedLong","SackedTotal","SackedYards","SacksTotal","SacksYards","SacksAverage","SpecialTeamsTackleTotal","TacklesForLossTotal","TacklesForLossYards","TacklesForLossAverage","SafetyScoredTotal","TacklesTotal","TeamLossSafeties","TeamLossTotal","TeamLossYards","TeamLossAverage","TouchdownsScored","PointsScored","PassesYardsNet","YardsFromScrimmageGross","YardsFromScrimmageNet","AllPurposeYards","OffensiveYardsNet","Turnovers","KickingPointsScored","PuntingPointsScored","RougesScored","PasserRating","FumbleReturnOrAdvanceTotal","FumbleReturnOrAdvanceYards","FumbleReturnOrAdvanceAverage","FumbleReturnOrAdvanceTouchdown","AllKickReturnYards","AllKickReturnTotal","AllKickReturnTouchdowns","AllKickReturnAverage","season"
"1","WPG","MTL",TRUE,33,38,2013009,2013,1,"2013-06-27T21:00:00",FALSE,0,0,0,1,8,2,3,0,0,0,1,8,0,2,1,1,3,6,5,19,5,0.315789473684211,0.263157894736842,0.263157894736842,0.473684210526316,604,1612,59,292,22,31.7894736842105,84.8421052631579,3.10526315789474,15.3684210526316,1.15789473684211,4.94915254237288,11,5,3,0,0,3,0,1,0,3,0,1,1,1,0,0,0,3,0,1,1,1,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46,46,46,1,0,60.8,39,65,46,0,0,0,5,304,195,0,0,0,0,0,0,0,0,0,0,0,34,19,2,3,0.0882352941176471,0.558823529411765,0.0810810810810811,2,0.0588235294117647,7.58823529411765,13.5789473684211,6.81081081081081,37,258,65,31,9,100,47.5555555555556,36.1111111111111,0,0,0,0,63,63,1,9,428,325,13.5789473684211,65,0,19,2,258,18.7142857142857,25,7,0,131,19.6,80,5,1,98,10,3.8,12,0,0,38,2,5,3,6,4,30,7.5,10,4,8,2,1,46,0,3,6,2,3,33,252,296,290,525,548,4,13,1,1,63.1,0,0,0,0,229,12,1,19.0833333333333,2013
"2","TOR","HAM",TRUE,39,34,2013010,2013,1,"2013-06-28T19:00:00",FALSE,0,0,0,4,14,4,1,1,0,0,0,5,0,5,0,0,0,7,6,12,0,0.583333333333333,0.5,0,0.416666666666667,385,1642,54,543,34,32.0833333333333,136.833333333333,4.5,45.25,2.83333333333333,10.0555555555556,22,0,5,0,0,5,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,44,1,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8571428571429,32.4285714285714,74,67,0,0,0,7,454,227,0,0,0,0,0,0,0,0,0,0,0,34,24,4,0,0,0.705882352941177,0,4,0.117647058823529,10.8235294117647,15.3333333333333,10.8235294117647,34,368,73,34,9,92,34.8,31.2,0,0,0,0,46,40,0,5,174,156,15.3333333333333,73,0,24,4,368,19.3333333333333,26,6,0,116,12,19,4,0,48,13,9.30769230769231,57,0,1,121,0,0,0,0,2,16,8,8,1,3,3,0,36,0,0,0,0,5,39,368,489,489,653,857,0,9,0,1,145.2,0,0,0,0,164,10,0,16.4,2013
"3","CGY","BC",TRUE,44,32,2013011,2013,1,"2013-06-28T22:00:00",FALSE,0,0,0,1,11,12,2,0,0,1,1,4,0,5,0,1,1,8,7,15,2,0.533333333333333,0.466666666666667,0.133333333333333,0.333333333333333,668,1949,63,452,37,44.5333333333333,129.933333333333,4.2,30.1333333333333,2.46666666666667,7.17460317460317,24,2,5,0,0,5,0,1,0,2,0,1,1,0,0,0,0,2,0,1,1,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,65.6666666666667,48.5,73,58,0,0,0,6,394,291,0,0,0,0,0,0,0,0,0,0,0,27,19,6,1,0.037037037037037,0.703703703703704,0,3,0.111111111111111,8.77777777777778,12.4736842105263,8.77777777777778,27,237,34,26,3,54,46.4,39.8,0,0,0,0,59,54,1,5,232,199,12.4736842105263,34,0,19,3,237,19.6,30,5,0,98,13.5,34,6,0,81,28,7.14285714285714,23,0,2,200,0,0,0,0,3,14,4.66666666666667,10,3,11,3.66666666666667,1,31,0,1,1,1,5,44,237,437,436,616,674,2,12,1,1,118.9,0,0,0,0,179,11,0,16.2727272727273,2013
"4","EDM","SSK",TRUE,18,39,2013012,2013,1,"2013-06-29T15:30:00",FALSE,0,1,1,2,16,5,3,1,0,0,0,8,0,1,1,0,2,5,4,16,3,0.3125,0.25,0.1875,0.5,517,1616,75,407,16,32.3125,101,4.6875,25.4375,1,5.42666666666667,23,5,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,3,0,1,1,1,0,40,1,0,1,0,0,0,0.75,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,54,38.6666666666667,75,54,1,0,0,3,162,116,0,0,0,0,0,0,0,0,0,0,0,46,23,1,3,0.0652173913043478,0.5,0.0612244897959184,1,0.0217391304347826,7.15217391304348,14.304347826087,6.40816326530612,49,329,46,43,13,90,44.75,39,0,0,0,0,51,43,0,8,358,312,14.304347826087,46,0,23,1,329,16.8333333333333,25,6,0,101,7.16666666666667,14,6,0,43,15,5.86666666666667,13,0,0,88,5,8,3,15,1,12,12,10,3,8,2.66666666666667,1,39,0,3,15,5,1,18,314,417,402,561,731,4,10,0,1,53.6,0,0,0,0,144,12,0,12,2013
"5","MTL","WPG",TRUE,11,19,2013013,2013,2,"2013-07-04T19:00:00",FALSE,0,0,0,1,5,3,1,0,1,1,1,12,0,1,0,1,1,3,2,19,2,0.157894736842105,0.105263157894737,0.105263157894737,0.684210526315789,771,1554,63,170,10,40.5789473684211,81.7894736842105,3.31578947368421,8.94736842105263,0.526315789473684,2.6984126984127,9,3,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,15,1,0,0,0,1,0,0.5,0,0,0,0,0,0,1,4,1,4,4,0,0,0,0,0,0,0,1,0,64,40.5,64,42,0,0,0,2,128,81,0,0,0,0,0,0,35,35,1,0,35,28,16,2,2,0.0714285714285714,0.571428571428571,0.2,1,0.0357142857142857,4.32142857142857,7.5625,2.34285714285714,35,121,21,26,8,70,45.5,40,0,0,0,0,67,67,1,14,637,560,7.5625,21,0,16,1,121,19.3333333333333,27,3,0,58,15.6666666666667,37,6,0,94,12,3.33333333333333,11,0,0,40,5.57142857142857,9,7,39,5,22,4.4,9,5,19,3.8,0,48,0,7,39,5.57142857142857,1,11,82,161,122,348,243,3,5,1,1,49.9,4,0,0,0,187,10,0,18.7,2013
"6","BC","TOR",TRUE,24,16,2013014,2013,2,"2013-07-04T22:00:00",FALSE,0,0,0,2,12,9,3,1,0,1,0,6,0,2,0,0,1,6,5,14,1,0.428571428571429,0.357142857142857,0.0714285714285714,0.428571428571429,618,2063,73,417,22,44.1428571428571,147.357142857143,5.21428571428571,29.7857142857143,1.57142857142857,5.71232876712329,23,2,2,0,0,2,0,1,0,4,0,2,2,0,0,0,0,3,0,2,1,0,0,34,1,0,0,1,0,0,0.75,1,0,0,0,0,0,1,1,1,1,1,3,3,3,0,0,0,0,0,0,58.25,40.75,63,48,0,0,0,4,233,163,0,0,0,0,0,0,0,0,0,0,0,34,20,1,1,0.0294117647058824,0.588235294117647,0.0810810810810811,1,0.0294117647058824,7.32352941176471,12.45,6.40540540540541,37,249,44,33,3,35,42.2,38.6,0,1,0,0,50,43,0,5,211,193,12.45,44,0,20,1,249,7.4,18,5,0,37,2.25,10,8,0,18,25,6.4,30,0,1,160,4,5,3,12,1,7,7,5,2,2,1,0,36,0,5,13,2.6,2,24,237,409,396,464,646,2,12,0,1,79.2,1,3,3,0,55,13,0,4.23076923076923,2013
"7","SSK","CGY",TRUE,36,21,2013015,2013,2,"2013-07-05T21:00:00",FALSE,0,2,0,4,13,11,4,0,0,1,1,2,0,3,0,0,0,8,7,11,0,0.727272727272727,0.636363636363636,0,0.272727272727273,425,2149,70,455,31,38.6363636363636,195.363636363636,6.36363636363636,41.3636363636364,2.81818181818182,6.5,28,0,1,0,0,1,0,1,2,4,1,1,2,0,0,0,0,4,1,1,2,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.5,46.5,73,54,0,0,0,4,274,186,0,0,0,0,0,0,0,0,0,0,0,34,26,2,0,0,0.764705882352941,0.0555555555555556,2,0.0588235294117647,7.58823529411765,9.92307692307692,6.83333333333333,36,258,32,34,4,35,51.3333333333333,49,0,0,0,0,62,62,1,3,154,147,9.92307692307692,32,0,26,2,258,25,29,4,0,100,12.3333333333333,27,6,0,74,29,5.20689655172414,18,0,1,151,6,9,2,12,2,6,3,5,0,0,0,0,35,0,2,12,6,3,36,246,409,397,583,655,0,14,1,1,117,0,0,0,0,174,10,0,17.4,2013
"8","HAM","EDM",TRUE,20,30,2013016,2013,2,"2013-07-07T17:00:00",FALSE,0,0,0,4,9,5,2,0,1,1,0,6,0,2,1,0,2,4,4,16,3,0.25,0.25,0.1875,0.375,794,1782,66,271,16,49.625,111.375,4.125,16.9375,1,4.10606060606061,18,4,2,0,0,2,0,1,0,3,0,1,1,1,0,0,0,2,0,1,1,0,0,39,1,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0,5,3,1,5,0,0,0,0,0,0,0,0,0,0,62,36.75,69,51,0,0,0,4,248,147,0,0,0,0,0,0,0,0,0,0,0,36,19,2,2,0.0555555555555556,0.527777777777778,0.1,1,0.0277777777777778,6.5,12.3157894736842,4.875,40,234,40,34,13,120,44.5,38,0,0,0,0,54,42,0,6,267,228,12.3157894736842,40,0,19,1,234,30.8,68,5,0,154,6.125,19,8,0,49,15,4.4,11,0,1,66,9.75,14,4,39,1,13,13,8,2,3,1.5,0,31,1,6,41,6.83333333333333,2,20,195,300,259,503,495,3,8,0,0,59.3,0,0,0,0,203,13,0,15.6153846153846,2013
"9","TOR","SSK",TRUE,28,39,2013017,2013,3,"2013-07-11T19:30:00",FALSE,0,0,0,2,19,6,2,0,1,1,0,7,0,3,1,0,0,5,5,15,1,0.333333333333333,0.333333333333333,0.0666666666666667,0.466666666666667,391,1737,75,513,24,26.0666666666667,115.8,5,34.2,1.6,6.84,27,1,3,0,0,3,0,1,0,3,0,0,0,3,0,0,0,2,0,0,0,2,0,44,1,0,0,0,1,0,0.666666666666667,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,49.8,34.8,62,47,0,0,0,5,249,174,0,0,0,0,0,0,0,0,0,0,0,46,33,2,0,0,0.717391304347826,0.0980392156862745,2,0.0434782608695652,9.58695652173913,13.3636363636364,8.09803921568627,51,441,48,46,9,68,41.4285714285714,33,0,0,0,0,47,37,0,7,290,231,13.3636363636364,48,0,33,2,441,17,28,6,0,102,4.75,7,4,0,19,14,5.42857142857143,22,0,1,76,5.6,10,5,28,1,9,9,10,2,2,1,0,42,0,5,28,5.6,3,28,413,517,489,638,930,0,10,0,1,116.3,1,0,0,0,121,10,0,12.1,2013
"10","MTL","CGY",TRUE,14,22,2013018,2013,3,"2013-07-12T19:30:00",FALSE,0,0,0,0,9,5,0,0,0,0,0,8,0,1,2,1,1,1,1,13,4,0.0769230769230769,0.0769230769230769,0.307692307692308,0.615384615384615,411,1393,58,240,6,31.6153846153846,107.153846153846,4.46153846153846,18.4615384615385,0.461538461538462,4.13793103448276,14,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,38,38,38,1,0,0,0,0,0,64.6666666666667,41,65,44,0,0,0,3,194,123,0,0,0,0,0,0,0,0,0,0,0,36,22,1,1,0.0277777777777778,0.611111111111111,0.0526315789473684,1,0.0277777777777778,5.69444444444444,9.31818181818182,5.05263157894737,38,205,33,35,11,143,39.25,34.875,1,0,0,0,46,44,0,8,314,279,9.31818181818182,33,0,22,1,205,22.5,23,2,0,45,2,3,4,0,8,12,4.41666666666667,21,0,0,53,6.5,8,2,13,6,43,7.16666666666667,6,2,8,4,0,51,0,2,13,6.5,2,14,192,258,245,311,450,2,2,0,0,74.4,1,38,38,1,53,6,0,8.83333333333333,2013
"11","HAM","WPG",TRUE,25,20,2013019,2013,3,"2013-07-13T18:30:00",FALSE,0,0,0,1,16,4,2,2,0,1,2,6,0,2,0,0,0,8,4,15,0,0.533333333333333,0.266666666666667,0,0.533333333333333,687,1931,67,387,22,45.8,128.733333333333,4.46666666666667,25.8,1.46666666666667,5.77611940298507,21,0,2,0,0,2,0,1,0,4,0,3,0,1,0,0,0,2,0,2,0,0,0,24,2,0,1,0,1,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,73.6666666666667,51.3333333333333,86,86,0,1,0,3,221,154,0,0,0,0,0,0,0,0,0,0,0,32,26,3,0,0,0.8125,0.179487179487179,2,0.0625,11.3125,13.9230769230769,8.1025641025641,39,362,61,32,7,65,50.125,41.5,0,0,0,0,68,68,2,8,401,332,13.9230769230769,61,0,26,2,362,19.5,23,2,0,39,9,16,4,0,36,15,5.06666666666667,15,0,0,76,6.57142857142857,13,7,46,6,42,7,5,4,23,5.75,0,35,0,8,47,5.875,2,25,316,438,391,513,754,0,13,2,5,134.6,0,0,0,0,75,6,0,12.5,2013
"12","EDM","BC",TRUE,3,17,2013020,2013,3,"2013-07-13T21:30:00",FALSE,0,0,0,0,3,6,1,0,0,2,0,8,0,0,1,0,1,1,1,14,2,0.0714285714285714,0.0714285714285714,0.142857142857143,0.571428571428571,714,1648,60,102,1,51,117.714285714286,4.28571428571429,7.28571428571429,0.0714285714285714,1.7,9,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,61.5,48,64,51,0,0,0,2,123,96,0,0,0,0,0,0,0,0,0,0,0,23,13,3,1,0.0434782608695652,0.565217391304348,0.115384615384615,0,0,4.21739130434783,7.46153846153846,3.53846153846154,26,97,18,22,11,103,39.375,34.625,1,0,0,0,48,43,0,8,315,277,7.46153846153846,18,0,13,0,97,30.5,40,2,0,61,9.33333333333333,17,6,0,56,20,4.05,13,0,0,81,1.66666666666667,3,3,5,2,13,6.5,9,4,9,2.25,0,42,1,8,33,4.125,0,3,92,178,145,295,270,1,3,0,0,48.6,0,0,0,0,117,8,0,14.625,2013
"13","WPG","TOR",TRUE,19,35,2013021,2013,4,"2013-07-19T20:00:00",FALSE,0,1,0,0,8,5,2,1,0,0,0,8,0,1,1,1,1,4,3,15,3,0.266666666666667,0.2,0.2,0.533333333333333,466,1616,60,335,13,31.0666666666667,107.733333333333,4,22.3333333333333,0.866666666666667,5.58333333333333,13,3,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,3,0,1,2,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,48.75,32.75,69,45,0,0,0,4,195,131,0,0,0,0,0,0,8,13,2,0,16,29,23,1,1,0.0344827586206897,0.793103448275862,0.0645161290322581,0,0,10.6551724137931,13.4347826086957,9.70967741935484,31,309,47,28,8,90,42.25,39,1,0,0,0,55,51,0,8,338,312,13.4347826086957,47,0,23,0,309,14.7142857142857,21,7,0,103,4,7,2,0,8,18,3.55555555555556,17,0,1,64,4,5,2,8,1,2,2,9,1,2,2,1,43,0,3,13,4.33333333333333,1,19,301,373,360,500,674,2,9,0,0,96.7,1,0,0,0,127,11,0,11.5454545454545,2013
"14","CGY","MTL",TRUE,38,27,2013022,2013,4,"2013-07-20T19:00:00",FALSE,0,2,2,1,13,11,4,0,1,0,0,6,0,4,0,0,1,8,8,16,1,0.5,0.5,0.0625,0.375,713,2052,73,463,36,44.5625,128.25,4.5625,28.9375,2.25,6.34246575342466,25,2,2,0,0,2,0,1,0,4,1,2,0,1,0,0,1,4,1,2,0,1,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,70.6666666666667,35.1666666666667,77,59,0,0,0,6,424,211,0,0,0,0,0,0,0,0,0,0,0,40,25,3,1,0.025,0.625,0.0476190476190476,3,0.075,6.325,10.12,5.66666666666667,42,253,45,39,8,103,46.3333333333333,33.5,0,0,0,0,56,45,0,6,278,201,10.12,45,0,25,3,253,22.75,33,4,0,91,8.2,17,5,0,41,22,7.95454545454545,26,0,1,175,7.5,8,2,15,3,19,6.33333333333333,11,2,2,1,0,34,0,3,26,8.66666666666667,4,38,238,428,402,560,666,2,14,0,0,95.1,1,0,0,0,132,9,0,14.6666666666667,2013
"15","BC","EDM",TRUE,31,21,2013023,2013,4,"2013-07-20T22:00:00",FALSE,0,0,0,1,11,12,1,0,0,2,0,4,0,4,0,0,1,5,5,12,1,0.416666666666667,0.416666666666667,0.0833333333333333,0.333333333333333,498,1889,60,442,27,41.5,157.416666666667,5,36.8333333333333,2.25,7.36666666666667,24,1,4,0,0,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,58.2,43,62,49,0,0,0,5,291,215,0,0,0,0,0,0,0,0,0,0,0,24,18,1,1,0.0416666666666667,0.75,0.04,1,0.0416666666666667,11.8333333333333,15.7777777777778,11.04,25,284,77,23,3,30,42,35.75,0,0,0,0,47,48,0,4,168,143,15.7777777777778,77,0,18,1,284,13,21,5,0,65,5.66666666666667,13,3,0,17,27,5.03703703703704,22,0,3,136,8,8,1,8,3,16,5.33333333333333,9,1,3,3,0,39,0,4,10,2.5,4,31,276,420,410,502,696,1,7,0,0,110.4,0,0,0,0,82,8,0,10.25,2013
